,sample1,sample2,sample3,t1,combined_effect,Count,STE,mono_s1_effect,mono_s1_Count,mono_s1_STE,mono_s1_qual_e,mono_s2_effect,mono_s2_Count,mono_s2_STE,mono_s2_qual_e,mono_s3_effect,mono_s3_Count,mono_s3_STE,mono_s3_qual_e,additive_single,mean_single,strongest_single
226,B_albus,E_americana1,B_cereus,183.082,-3.3947329715044328,10,8.298982740106505,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,0.05961666735105992,8,8.120413375004107,+,-3.2954888902151205,-1.0984962967383736,-3.193224205193991
227,B_albus,E_americana1,E_americana1,152.364,-3.578394716540699,5,8.392441817004626,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-3.193224205193991,10,8.463684123802315,-,-6.548329762760171,-2.1827765875867238,-3.193224205193991
228,B_albus,E_americana1,E_cloacae2,412.723,-2.5818904456558247,13,8.278900898731262,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-2.551479722227219,6,8.49790667047031,-,-5.906585279793399,-1.9688617599311329,-3.193224205193991
229,B_albus,E_americana1,E_coli1,163.902,-3.5053984231784825,6,8.374572925367968,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-1.0948363517386674,6,8.449533380694483,-,-4.449941909304847,-1.4833139697682824,-3.193224205193991
230,B_albus,E_americana1,F_banpakuense1,267.212,-3.0166247605826544,3,7.972428773901777,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-0.07491037290930991,11,8.49655941548746,-,-3.4300159304754905,-1.1433386434918302,-3.193224205193991
231,B_albus,E_americana1,F_banpakuense2,233.5115,-3.1514357849848373,14,8.406538099804658,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-0.24357209496557417,15,8.499877274286634,-,-3.5986776525317543,-1.1995592175105847,-3.193224205193991
232,B_albus,E_americana1,F_ginsengiterrae,210.636,-3.2545355861541445,7,8.467095384662308,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-0.5381788920585315,12,8.028845047871703,-,-3.893284449624712,-1.2977614832082374,-3.193224205193991
233,B_albus,E_americana1,L_macroides,195.08350000000002,-3.331239439378054,6,8.550438761855373,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,0.012626586030604878,10,8.346078895361748,+,-3.3424789715355754,-1.114159657178525,-3.193224205193991
234,B_albus,E_americana1,M_kyungheense,183.846,-3.3905686607727676,7,8.474101537255855,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-0.563369432350511,9,8.403630741242848,-,-3.9184749899166915,-1.3061583299722306,-3.193224205193991
235,B_albus,E_americana1,Mono1,177.696,-3.424592886357157,7,8.493103058683115,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,0.0,8,8.501798696539138,-,-3.3551055575661803,-1.1183685191887267,-3.193224205193991
236,B_albus,E_americana1,P_corrugata,217.8755,-3.2207433126849407,8,8.467489023417652,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-2.444866897376543,16,8.527663018527738,-,-5.799972454942724,-1.9333241516475745,-3.193224205193991
237,B_albus,E_americana1,P_koreensis1,107.237,-3.9296257730762223,5,8.281495222925596,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-3.0806494647724176,3,8.457991157018645,-,-6.435755022338598,-2.145251674112866,-3.193224205193991
238,B_albus,E_americana1,P_koreensis2,158.411,-3.5394741900027378,7,8.461216268775605,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-2.8577724666950157,14,8.449351249455624,-,-6.212878024261196,-2.0709593414203984,-3.193224205193991
