,index,Count,STE,additive,combined_effect,focal,good_to_use,i1_f_abxr_distance,i1_f_mtb_distance,i1_f_phg_distance,i1_max_od,i1_time_to_thresh,i2_f_abxr_distance,i2_f_mtb_distance,i2_f_phg_distance,i2_max_od,i2_time_to_thresh,iso1t_abxr_distance,iso1t_mtb_distance,iso1t_phg_distance,iso2t_abxr_distance,iso2t_mtb_distance,iso2t_phg_distance,isos_abxr_distance,isos_mtb_distance,isos_phg_distance,mean,mono_s1_effect,mono_s1_qual_e,mono_s2_effect,mono_s2_qual_e,sample1,sample2,strongest,comm_size,qual_monos,qual_effect,modified_strongest
44,1173,165,0.0372627723617,-6.791902066593861,-3.3959510332969307,EC,y,2.115339216296053,2.1808415806747634,0.122,1.161,0.05970149253731343,2.115339216296053,2.1808415806747634,0.122,1.161,0.05970149253731343,,,,,,,0.0,0.0,0.0,-3.3959510332969307,-3.3959510332969307,-,-3.3959510332969307,-,P_helmanticensis,P_helmanticensis,-3.3959510332969307,single,"-,-",Negative,-3.3959510332969307
45,1222,176,0.0490539277668213,-5.286152853612785,-2.6430764268063927,EC,y,1.491235058600756,1.533435358924529,0.122,0.8400000000000001,0.02702702702702703,1.491235058600756,1.533435358924529,0.122,0.8400000000000001,0.02702702702702703,,,,,,,0.0,0.0,0.0,-2.6430764268063927,-2.6430764268063927,-,-2.6430764268063927,-,P_koreensis1,P_koreensis1,-2.6430764268063927,single,"-,-",Negative,-2.6430764268063927
46,1272,191,0.1189934578614839,-7.858094943911058,-3.929047471955529,EC,y,2.157644780773703,2.012832332808672,0.122,1.4205,0.09090909090909091,2.157644780773703,2.012832332808672,0.122,1.4205,0.09090909090909091,,,,,,,0.0,0.0,0.0,-3.929047471955529,-3.929047471955529,-,-3.929047471955529,-,P_plecoglossicida1,P_plecoglossicida1,-3.929047471955529,single,"-,-",Negative,-3.929047471955529
47,1323,108,0.1763132136760994,-8.83349276196545,-4.416746380982725,EC,y,2.0256986449124166,2.48101007656156,0.122,1.117,0.07272727272727272,2.0256986449124166,2.48101007656156,0.122,1.117,0.07272727272727272,,,,,,,0.0,0.0,0.0,-4.416746380982725,-4.416746380982725,-,-4.416746380982725,-,P_rhodesiae2,P_rhodesiae2,-4.416746380982725,single,"-,-",Negative,-4.416746380982725
48,1375,169,0.0314820042327905,-4.545839675002661,-2.2729198375013304,EC,y,1.2777531060420082,1.847605206747372,0.044,1.262,0.06349206349206349,1.2777531060420082,1.847605206747372,0.044,1.262,0.06349206349206349,,,,,,,0.0,0.0,0.0,-2.2729198375013304,-2.2729198375013304,-,-2.2729198375013304,-,R_planticola4,R_planticola4,-2.2729198375013304,single,"-,-",Negative,-2.2729198375013304
49,1428,171,0.0579633481348089,-4.639825398912532,-2.319912699456266,EC,y,1.394661607702743,1.8036986998941928,0.044,1.206,0.06451612903225806,1.394661607702743,1.8036986998941928,0.044,1.206,0.06451612903225806,,,,,,,0.0,0.0,0.0,-2.319912699456266,-2.319912699456266,-,-2.319912699456266,-,R_planticola2,R_planticola2,-2.319912699456266,single,"-,-",Negative,-2.319912699456266
50,1482,207,0.0316673193306451,-4.688307836291775,-2.344153918145888,EC,y,1.852584141139074,1.2960925892851949,0.044,0.5860000000000001,0.06779661016949153,1.852584141139074,1.2960925892851949,0.044,0.5860000000000001,0.06779661016949153,,,,,,,0.0,0.0,0.0,-2.344153918145888,-2.344153918145888,-,-2.344153918145888,-,S_fonticola1,S_fonticola1,-2.344153918145888,single,"-,-",Negative,-2.344153918145888
51,1537,173,0.0418997335690618,-4.547160834144874,-2.273580417072437,EC,y,2.0969754409625305,1.254179413002781,0.044,0.651,0.06666666666666667,2.0969754409625305,1.254179413002781,0.044,0.651,0.06666666666666667,,,,,,,0.0,0.0,0.0,-2.273580417072437,-2.273580417072437,-,-2.273580417072437,-,S_fonticola2,S_fonticola2,-2.273580417072437,single,"-,-",Negative,-2.273580417072437
52,1593,71,0.0615648170611604,1.89756222647232,0.94878111323616,EC,y,,2.020324726374451,0.265,0.095,,,2.020324726374451,0.265,0.095,,,,,,,,,0.0,0.0,0.94878111323616,0.94878111323616,+,0.94878111323616,+,C_lathyri2,C_lathyri2,0.94878111323616,single,"+,+",Positive,0.94878111323616
53,1650,71,0.1015716248733897,-5.449825161950556,-2.724912580975278,EC,y,2.3075168471757688,2.0990493086156885,0.122,1.452,0.04081632653061224,2.3075168471757688,2.0990493086156885,0.122,1.452,0.04081632653061224,,,,,,,0.0,0.0,0.0,-2.724912580975278,-2.724912580975278,-,-2.724912580975278,-,P_mosselii,P_mosselii,-2.724912580975278,single,"-,-",Negative,-2.724912580975278
