,additive,mean,OD_W_mean,strongest,modified_strongest
574,0.4585957902657885,0.31851611152630893,0.23801799419741848,0.16217948280995692,0.15934841006540829
575,0.4639780407251618,0.3236507433168938,0.2407660086049769,0.164553236709065,0.16142083454045972
576,0.4675605887490598,0.3168931360044361,0.23442766445860708,0.15691762738959117,0.15452154385730696
577,0.453237310902762,0.30690170852814175,0.23077969657347283,0.15021848379493438,0.14881320452143373
578,0.46644292099378737,0.32166253501509706,0.24159555312744904,0.15863845884316718,0.15744099336259654
579,0.4608463012118756,0.3174170529983262,0.2434899979115317,0.16623730554845567,0.16468838611571074
580,0.46828059990500653,0.324366875819401,0.24076468693620837,0.15887049020823055,0.15751053198343237
581,0.45885980333338067,0.31595644949491747,0.23479481492064333,0.16207027399500862,0.15962757075795378
582,0.45061517099150444,0.31706348432111753,0.2368929574843985,0.1606922566276604,0.1578966067639825
583,0.46670553892021743,0.3206791198779761,0.23664730749474264,0.1675210675613938,0.16479868294632496
584,0.45274653443022256,0.3181751408282763,0.23417934069586147,0.1650699691202785,0.16487502306154023
585,0.45145399909807543,0.3064843705340146,0.22931965470334456,0.15306306960824642,0.15272483132610817
586,0.46110830764337035,0.3222447482637804,0.24071980377960137,0.16091999837715096,0.16019705283545313
587,0.4562523708495259,0.3161688449322772,0.2353581628052264,0.15400505351684846,0.15138061825538832
588,0.4566703401292834,0.3194509690583096,0.23916969611919595,0.15969258052572216,0.15813437645147527
589,0.45607467230118853,0.3128537153018548,0.2354772777158952,0.15377478014087553,0.151958013611416
590,0.462457190543561,0.3208741798916647,0.23844812239093316,0.16175250598411398,0.16156402944143158
591,0.45082545784454003,0.31038050724053573,0.23087241581086299,0.1444530407034533,0.1433029216929967
592,0.4509218725933286,0.3203200725343563,0.23772893027678724,0.16013112674556318,0.15792860396418665
593,0.45771489919579467,0.3213376171093111,0.23676006808486913,0.16052185298377855,0.15687562788409462
594,0.4587850440596791,0.3202827060752182,0.23713983987301648,0.1594371817546002,0.15624117060090145
595,0.4448398996241113,0.3113551401047905,0.23061736212587597,0.15577418999321427,0.15363548633039553
596,0.4582941718383721,0.3245309255900257,0.24085618734220435,0.16822118883137602,0.1664425703029684
597,0.46466898830521475,0.315798466305046,0.23767857977972678,0.1564687853148794,0.15403396537933653
598,0.44862716524140933,0.30520220868353415,0.22978688462565527,0.15277392633256726,0.15076881335293088
599,0.4553742171307814,0.3196609848843028,0.2375780958270007,0.159924365235693,0.1580055969979995
600,0.45797892496268694,0.3217039825781962,0.23801983783486697,0.16268786886957157,0.16077832160944558
601,0.4552532747940403,0.3166952642656904,0.23381398410015714,0.15496760619692032,0.15189942398035278
602,0.4582842461974616,0.32449684234340287,0.24537432221404526,0.1595003182621072,0.15890902036947258
603,0.4699868350979216,0.31882632873441275,0.2359148554649181,0.16229988952640803,0.15838721264589392
604,0.4611816157264687,0.3222920879451457,0.23871678078781836,0.162370817762235,0.15970467442913497
605,0.4579814186860389,0.31943552112747453,0.2393534095123237,0.1596954456844289,0.15617189524283787
606,0.46280815137628817,0.3240797583174152,0.2400468565724044,0.16291492557585965,0.1601929629755519
607,0.45761364238896923,0.31972207126558794,0.23918065826163745,0.16189075421453053,0.1584392218601523
608,0.45735569157679723,0.3231682694865603,0.24003421533037164,0.16133016756211982,0.16062279014788433
609,0.4628792733674844,0.3193440282962884,0.24104396768668013,0.15642102698372928,0.1562545516551347
610,0.4558282834028678,0.30490875836463605,0.22779413649337354,0.14847613699529094,0.1462224128100528
611,0.4461669110769878,0.30912423319166515,0.22955223601524433,0.15642697766065347,0.15362465957670032
612,0.4581777965961724,0.32274835785745615,0.24058023472291878,0.15893666334748272,0.15967596782827012
613,0.46119897753733774,0.32077974764014877,0.24002151299194632,0.15928848268294368,0.15675908720339832
614,0.46666910016506225,0.31867006541816606,0.23761483598204086,0.16371200206655032,0.15947496450547732
615,0.4598898795694885,0.3126997919119624,0.23538898196030902,0.15629435461562854,0.15585020030172309
616,0.4593152551594957,0.3197491521383462,0.23541404211790726,0.1561842648559979,0.1547944380871785
617,0.45954146773825977,0.3246274876539181,0.23971498436525687,0.1597070735807315,0.15653536532388326
618,0.4458181914453239,0.3120340115301314,0.23552606945175747,0.15726883299645428,0.1562016658182821
619,0.4734148991924937,0.3225154153044226,0.2406310894982466,0.16818142684579687,0.16536040037295135
620,0.4526529070740427,0.3211471657427585,0.23882453302252193,0.1569139468425541,0.15479084470693724
621,0.46163906033587254,0.3174085063313111,0.23618266971110105,0.15998360903710576,0.15817217615174248
622,0.45207223511877,0.3171096007303615,0.2364923628526444,0.1605107987111111,0.15641124228268669
623,0.47096772265569065,0.32129028189444486,0.2376904898874652,0.16218249302406518,0.15683662542650187
